description,amenities,averageRating,booking_count,likes,dislikes,price,comments
Beautiful turf for family sports days and activities.,"['restroom', 'locker', 'showers']",1.2,215,148,39,46,Overpriced for the facilities provided.
"Spacious, well-lit turf for competitive sports.","['parking', 'locker']",3.0,225,207,34,27,Amazing experience with great amenities!
Quiet and clean turf for friendly competitions.,"['wifi', 'cafe', 'firstaid']",3.4,298,325,31,84,Amenities were not as advertised.
Convenient location with wide turf for sports.,"['wifi', 'locker', 'parking', 'cafe']",2.3,237,260,41,76,Ideal for family gatherings and events.
Turf equipped with floodlights for night games.,"['wifi', 'showers', 'lockers']",4.1,112,218,33,59,Staff was not very helpful.
"Spacious, well-lit turf for competitive sports.","['wifi', 'cafe', 'firstaid']",1.4,263,248,42,33,Ideal for family gatherings and events.
"Good location, well-maintained turf with affordable rates.","['wifi', 'cafe', 'firstaid']",1.3,295,249,24,54,"Limited facilities, not worth the price."
Spacious turf with comfortable seating and great accessibility.,"['parking', 'locker']",3.9,294,392,9,67,Outstanding quality and friendly staff.
High-quality turf with excellent lighting and ample parking.,"['wifi', 'showers', 'lockers']",3.0,166,242,20,75,Amazing experience with great amenities!
Versatile turf for local leagues and community events.,"['restroom', 'locker', 'showers']",3.8,179,259,45,68,"Limited facilities, not worth the price."
Large turf with room for large-scale events.,"['parking', 'firstaid', 'cafe']",2.7,137,110,38,32,Excellent services and well-organized.
Convenient location with wide turf for sports.,"['parking', 'firstaid', 'cafe']",2.0,121,237,26,80,Amenities were not as advertised.
"Affordable turf, great for casual matches and local tournaments.","['wifi', 'cafe', 'firstaid']",4.3,188,177,26,68,Perfect for weekend games with friends.
Conveniently located turf with nearby public transport.,"['parking', 'locker']",4.2,113,176,1,65,Staff was not very helpful.
Professional-standard turf for team games.,"['firstaid', 'cafe', 'parking']",3.8,254,353,40,81,Amenities were not as advertised.
"Affordable but well-kept turf, perfect for community games.","['wifi', 'showers', 'lockers']",2.1,258,357,47,27,Turf was too crowded and noisy.
Ideal for outdoor team games with strong infrastructure.,"['wifi', 'showers', 'lockers']",3.4,121,419,12,62,Overpriced for the facilities provided.
Versatile turf for local leagues and community events.,"['parking', 'firstaid', 'cafe']",2.4,70,390,8,39,The turf is well-maintained and clean.
Budget-friendly option with basic amenities.,"['wifi', 'parking', 'restroom']",1.4,67,362,35,58,Turf was okay but could be cleaner.
Affordable turf with a mix of different facilities.,"['restroom', 'locker', 'showers']",4.7,271,184,21,68,Lacks proper lighting for evening games.
Ideal for indoor/outdoor sports and fitness activities.,"['wifi', 'parking', 'restroom']",1.5,113,245,41,83,Perfect for weekend games with friends.
Comfortable and clean turf with modern facilities.,"['parking', 'firstaid', 'cafe']",4.8,131,422,25,81,Perfect for weekend games with friends.
Comfortable turf with all-season grass.,"['parking', 'firstaid', 'cafe']",2.8,159,141,11,73,Highly recommended for sports enthusiasts.
Premium turf for corporate team-building events.,"['parking', 'firstaid', 'cafe']",1.7,288,473,16,28,"Limited facilities, not worth the price."
Affordable and convenient turf with nearby food outlets.,"['parking', 'locker', 'wifi']",3.2,144,224,13,56,Great location with easy parking access.
Modern turf with good safety measures.,"['restroom', 'locker', 'showers']",4.5,215,266,13,68,"Limited facilities, not worth the price."
"Simple turf, good for friendly games and casual matches.","['wifi', 'parking', 'restroom']",3.9,81,340,33,60,Lacks proper lighting for evening games.
Newly renovated turf with modern facilities.,"['restroom', 'firstaid', 'cafe', 'wifi']",4.2,60,379,19,36,"Good value for the price, will book again."
Turf for professional teams and local leagues.,"['wifi', 'showers', 'lockers']",3.6,94,287,10,40,Great location with easy parking access.
Budget turf for beginners and recreational sports.,"['parking', 'locker', 'wifi']",3.8,266,401,15,70,Amazing experience with great amenities!
"Spacious, well-lit turf for competitive sports.","['firstaid', 'cafe', 'parking']",4.4,82,118,30,78,Staff was not very helpful.
Great for training sessions with a convenient location.,"['wifi', 'parking', 'restroom']",2.0,151,167,5,58,Perfect for weekend games with friends.
Turf with clean environment and supportive staff.,"['restroom', 'firstaid', 'cafe', 'wifi']",3.0,218,317,18,74,Overpriced for the facilities provided.
Stylish turf with relaxing environment.,"['wifi', 'showers', 'lockers']",1.9,185,201,36,60,Amenities were not as advertised.
Versatile turf for school and community events.,"['wifi', 'showers', 'lockers']",5.0,60,141,3,58,Turf was okay but could be cleaner.
Compact turf with essential facilities and affordable rates.,"['wifi', 'showers', 'lockers']",4.8,263,387,46,32,"Needs improvement, not up to expectations."
Spacious turf for local games and friendly matches.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.2,228,266,3,83,"Could use better maintenance, average experience."
Spacious and clean turf for large tournaments.,"['wifi', 'cafe', 'firstaid']",3.8,137,208,19,30,Amazing experience with great amenities!
Convenient location with wide turf for sports.,"['wifi', 'showers', 'lockers']",4.7,90,135,9,38,Amazing experience with great amenities!
Convenient and clean turf for community use.,"['wifi', 'parking', 'restroom']",1.7,194,331,23,30,Overpriced for the facilities provided.
"Turf with artificial grass, ideal for all-weather games.","['wifi', 'showers', 'lockers']",3.3,125,328,34,96,Parking is limited and inconvenient.
"Turf with basic amenities, good for community events.","['wifi', 'parking', 'restroom']",4.7,170,452,25,65,Lacks proper lighting for evening games.
"Freshly painted turf, safe for kids’ games.","['wifi', 'cafe', 'firstaid']",1.1,95,263,36,64,Perfect for weekend games with friends.
Great for evening games with floodlights.,"['wifi', 'showers', 'lockers']",3.8,209,486,37,20,Overpriced for the facilities provided.
Turf suitable for any kind of local or international event.,"['parking', 'locker', 'wifi']",2.2,256,172,20,59,Excellent services and well-organized.
Affordable but great location for training camps.,"['wifi', 'parking', 'restroom']",4.7,129,235,39,38,Parking is limited and inconvenient.
Convenient turf with all basic amenities.,"['firstaid', 'cafe', 'parking']",4.9,103,452,38,95,Amazing experience with great amenities!
Comfortable turf with quick booking system.,"['parking', 'locker']",4.8,135,478,20,91,Staff was not very helpful.
Turf with professional pitch maintenance.,"['restroom', 'firstaid', 'cafe', 'wifi']",2.9,141,169,9,91,Turf was too crowded and noisy.
"Clean and tidy turf, great for social events.","['firstaid', 'cafe', 'parking']",4.4,197,295,37,80,"Needs improvement, not up to expectations."
Ideal for all levels of competition and training.,"['restroom', 'firstaid', 'cafe', 'wifi']",4.4,210,368,45,31,Staff was not very helpful.
Professional turf with excellent pitch quality.,"['wifi', 'parking', 'restroom']",2.3,251,148,3,80,Amenities were not as advertised.
